Parameter,units,num_samps_glkn,num_samps_mecs,New_Name
"Alkalinity, total",mg/l,,173,Alkalinity_mgL
"Alkalinity, Total (total hydroxide+carbonate+bicarbonate)",mg/l,43,,Alkalinity_mgL
Calcium,mg/l,42,183,Ca_mgL
"Carbon, organic",mg/l,42,,DOC_mgL
Chloride,mg/l,42,173,Cl_mgL
"Chlorophyll a, free of pheophytin",ppb,10,36,ChlA_ugL
"Chlorophyll a, free of pheophytin",ug/l,37,320,ChlA_ugL
"Chlorophyll-a, Pheo-Corrected",mg/l,,2223,ChlA_ugL
"Depth, Secchi Disk Depth",m,37,,SecchiDepth_m
"Depth, Secchi disk depth",m,,346,SecchiDepth_m
Dissolved Oxygen,mg/l,,1811,DO_mgL
Dissolved oxygen (DO),mg/l,261,5527,DO_mgL
Dissolved Oxygen Saturation,%,,168,DOsat_pct
Dissolved oxygen saturation,%,261,5527,DOsat_pct
Magnesium,mg/l,42,183,Mg_mgL
Nitrate + Nitrite,ug/l,,398,NO2+NO3_ugL
Nitrogen,ug/l,81,420,N_ugL
"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",ug/l,80,,NO2+NO3_ugL
Organic carbon,mg/l,,180,DOC_mgL
pH,None,260,7256,pH
Phosphorus,ug/l,,415,P_ugL
Phosphorus as P,ug/l,81,,P_ugL
Potassium,mg/l,42,183,K_mgL
Secchi Depth,m,,709,SecchiDepth_m
Silicate,mg/l,42,179,Si_mgL
Sodium,mg/l,42,179,Na_mgL
"Solids, Suspended (TSS)",mg/l,83,,TSS_mgL
Specific conductance,uS/cm,260,5527,SpecCond_uScm
Sulfate,mg/l,,183,SO4_mgL
"Sulfur, sulfate (SO4) as SO4",mg/l,42,,SO4_mgL
"Temperature, water",deg C,260,5527,TempWater_C
Total suspended solids,mg/l,,369,TSS_mgL
Transparency Tube,cm,,,Transp_cm
"Transparency, tube with disk",cm,79,160,Transp_cm
